label,phase,N,J1,J2,J3,E0,E0_per_N,chi,FQ
D,D,16,1.0,0.0,0.0,-5.999999999999993,-0.37499999999999956,2,2.0
D,D,24,1.0,0.0,0.0,-8.99999999999998,-0.37499999999999917,2,1.999999999999999
D,D,32,1.0,0.0,0.0,-11.999999999999968,-0.374999999999999,2,2.0
D,D,48,1.0,0.0,0.0,-17.999999999999936,-0.37499999999999867,2,1.999999999999996
D,D,64,1.0,0.0,0.0,-23.999999999999883,-0.37499999999999817,2,2.0
D,D,96,1.0,0.0,0.0,-35.9999999999997,-0.3749999999999969,2,1.9999999999999944
D,D,128,1.0,0.0,0.0,-47.99999999999949,-0.374999999999996,2,2.0
C,C,16,1.0,1.0,0.0,-6.464101615137752,-0.4040063509461095,4,2.4880338717125916
C,C,24,1.0,1.0,0.0,-9.696152422706625,-0.40400635094610937,4,2.4880338717125885
C,C,32,1.0,1.0,0.0,-12.928203230275496,-0.40400635094610926,4,2.488033871712586
C,C,48,1.0,1.0,0.0,-19.392304845413257,-0.40400635094610954,4,2.488033871712587
C,C,64,1.0,1.0,0.0,-25.85640646055102,-0.4040063509461097,4,2.488033871712585
C,C,96,1.0,1.0,0.0,-38.784609690826436,-0.4040063509461087,4,2.4880338717125903
C,C,128,1.0,1.0,0.0,-51.71281292110202,-0.40400635094610954,4,2.4880338717125823
U,U,16,1.0,1.0,1.0,-6.911737143342012,-0.4319835714588757,36,3.7565127814181345
U,U,24,1.0,1.0,1.0,-10.453785755373907,-0.4355744064739128,41,4.192281003366749
U,U,32,1.0,1.0,1.0,-13.997315609968172,-0.4374161128115054,49,4.517267734553193
U,U,48,1.0,1.0,1.0,-21.08595630032214,-0.43929075625671127,67,4.996201838104388
U,U,64,1.0,1.0,1.0,-28.17542483965738,-0.4402410131196466,82,5.3500591951222285
U,U,96,1.0,1.0,1.0,-42.35522503860569,-0.44120026081880925,106,5.867412216312349
U,U,128,1.0,1.0,1.0,-56.53546984072561,-0.44168335813066883,126,6.247019640148269
